City,Nation,Continent,Population,GDP per Capita,GDP (Nominal),Economic Mass,Population Band,Is Capital,Is Hub,Route Count (Degree),Latitude,Longitude,Map X,Map Y,ID
Roviri,United Delet,New Ayre,2477000,10198.41,25261468254,25261468254,1-5M,FALSE,FALSE,28,10.8562,-41.472,3848,2198,roviri
Losari,Astye,New Ayre,1246000,3694.44,4603277778,4603277778,1-5M,FALSE,FALSE,12,10.7842,-46.152,3718,2200,losari
Tivara,United Delet,New Ayre,1131000,10198.41,11534404762,11534404762,1-5M,FALSE,FALSE,20,9.776,-37.764,3951,2228,tivara
Tanshiva,Hkuqo,Ayuma,4030000,2936.51,11834126984,11834126984,1-5M,TRUE,FALSE,22,9.6319,69.732,6937,2232,tanshiva
Mantraal,United Delet,New Ayre,19980000,10198.41,203764285714,203764285714,10-20M,TRUE,TRUE,133,9.4519,-41.256,3854,2237,mantraal
Dhamasol,Hkuqo,Ayuma,1801000,2936.51,5288650794,5288650794,1-5M,FALSE,FALSE,12,9.2719,73.512,7042,2242,dhamasol
Narvila,United Delet,New Ayre,4193000,10198.41,42761944444,42761944444,1-5M,FALSE,FALSE,33,9.2358,-35.1,4025,2243,narvila
Chitralna,Hkuqo,Ayuma,1114000,2936.51,3271269841,3271269841,1-5M,FALSE,FALSE,11,9.1638,72.612,7017,2245,chitralna
Kovasi,Nia,New Ayre,1286000,3373.02,4337698413,4337698413,1-5M,TRUE,FALSE,18,8.8038,-30.24,4160,2255,kovasi
Kavlira,Etirha,Atirha,4220000,35396.83,149374603175,149374603175,1-5M,FALSE,FALSE,83,8.6957,-56.556,3429,2258,kavlira-2
Solekhan,United Delet,New Ayre,1139000,10198.41,11615992063,11615992063,1-5M,FALSE,FALSE,21,8.7317,-39.132,3913,2257,solekhan
Tavon,Eldavpir,Acrola,1487000,1198.41,1782039683,1782039683,1-5M,FALSE,FALSE,11,8.7317,108.972,8027,2257,tavon
Ravohni,United Delet,New Ayre,1198000,10198.41,12217698413,12217698413,1-5M,FALSE,FALSE,20,8.4437,-36.648,3982,2265,ravohni
Halumbaro,Reerica,Acrola,1568000,7619.05,11946666667,11946666667,1-5M,TRUE,FALSE,24,8.4437,113.472,8152,2265,halumbaro
Su Sariko,Ohtina,New Ayre,3207000,8769.84,28124880952,28124880952,1-5M,TRUE,FALSE,32,8.2637,-52.56,3540,2270,su-sariko
Lurimah,United Delet,New Ayre,1743000,10198.41,17775833333,17775833333,1-5M,FALSE,FALSE,25,8.0116,-41.832,3838,2277,lurimah
Chavindora,Taval,Massir,1243000,10634.92,13219206349,13219206349,1-5M,FALSE,FALSE,21,7.5075,66.42,6845,2291,chavindora
Lunfrix,Eldavpir,Acrola,1865000,1198.41,2235039683,2235039683,1-5M,TRUE,FALSE,18,7.1834,97.452,7707,2300,lunfrix
Firanza,United Delet,New Ayre,2403000,10198.41,24506785714,24506785714,1-5M,FALSE,FALSE,27,6.5353,-37.08,3970,2318,firanza
Torivis,United Delet,New Ayre,2038000,10198.41,20784365079,20784365079,1-5M,FALSE,FALSE,27,6.1752,-41.148,3857,2328,torivis
Espralit,Sattle,Acrola,1193000,666.67,795333333,795333333,1-5M,TRUE,FALSE,17,5.3831,102.24,7840,2350,espralit
Talanvi,United Delet,New Ayre,1155000,10198.41,11779166667,11779166667,1-5M,FALSE,FALSE,19,5.095,-44.532,3763,2358,talanvi
Vindasira,Hkuqo,Ayuma,1477000,2936.51,4337222222,4337222222,1-5M,FALSE,FALSE,12,4.5189,75.24,7090,2374,vindasira
Zadira,United Delet,New Ayre,1251000,10198.41,12758214286,12758214286,1-5M,FALSE,FALSE,21,4.2308,-40.428,3877,2382,zadira
Chavillar,Iquir,Acrola,6430000,1111.11,7144444444,7144444444,5-10M,TRUE,FALSE,29,4.2308,88.2,7450,2382,chavillar
Dalyar,Pelines,Acrola,10472000,2559.52,26803333333,26803333333,10-20M,TRUE,FALSE,36,3.2947,113.688,8158,2408,dalyar
Harlitak,Othya,Acrola,1957000,1087.3,2127849206,2127849206,1-5M,TRUE,FALSE,19,2.6105,103.932,7887,2427,harlitak
Luzparan,Taval,Massir,1729000,10634.92,18387777778,18387777778,1-5M,FALSE,FALSE,22,2.3945,60.336,6676,2433,luzparan
Caminastra,Taval,Massir,1635000,10634.92,17388095238,17388095238,1-5M,FALSE,FALSE,22,2.2144,65.7,6825,2438,caminastra
Lunavati,Hkuqo,Ayuma,1110000,2936.51,3259523810,3259523810,1-5M,FALSE,FALSE,11,2.0704,76.68,7130,2442,lunavati
Tamalpura,Taval,Massir,5320000,10634.92,56577777778,56577777778,5-10M,FALSE,FALSE,45,1.9624,67.14,6865,2445,tamalpura
Tanshivar,Taval,Massir,1174000,10634.92,12485396825,12485396825,1-5M,FALSE,FALSE,20,1.7824,58.572,6627,2450,tanshivar
Vidadesh,Taval,Massir,1554000,10634.92,16526666667,16526666667,1-5M,FALSE,FALSE,21,1.5303,69.948,6943,2457,vidadesh
Zolittique,Taniduna,Acrola,5650000,234.13,1322817460,1322817460,5-10M,TRUE,FALSE,27,0.9542,90.792,7522,2473,zolittique
Pelviret,Taniduna,Acrola,1906000,234.13,446246032,446246032,1-5M,FALSE,FALSE,12,-0.198,83.808,7328,2505,pelviret
Vesnadi,Taval,Massir,1614000,10634.92,17164761905,17164761905,1-5M,FALSE,FALSE,20,-0.4861,62.748,6743,2513,vesnadi
Suraspa,Taval,Massir,3652000,10634.92,38838730159,38838730159,1-5M,TRUE,FALSE,36,-1.3143,53.64,6490,2536,suraspa
Bhanquillo,Taval,Massir,1173000,10634.92,12474761905,12474761905,1-5M,FALSE,FALSE,20,-1.3503,54.72,6520,2537,bhanquillo
Arokdan,Pelines,Acrola,1457000,2559.52,3729226190,3729226190,1-5M,FALSE,FALSE,11,-2.5385,109.692,8047,2570,arokdan
Frevinta,Ucrua,Massir,1073000,1658.73,1779817460,1779817460,1-5M,TRUE,FALSE,16,-2.7185,69.3,6925,2575,frevinta
Fermahal,Ucrua,Massir,3890000,1658.73,6452460317,6452460317,1-5M,FALSE,FALSE,18,-2.9706,63.648,6768,2582,fermahal
Yagmosantri,Pelines,Acrola,3836000,2559.52,9818333333,9818333333,1-5M,FALSE,FALSE,18,-2.9706,112.68,8130,2582,yagmosantri
Zambhori,Viussi,Acrola,1168000,1337.3,1561968254,1561968254,1-5M,TRUE,FALSE,17,-3.1506,103.5,7875,2587,zambhori
Hirvani,Umarcia,New Ayre,2860000,6031.75,17250793651,17250793651,1-5M,TRUE,FALSE,24,-3.6187,-32.58,4095,2600,hirvani
Dulravi,Jshain,Acrola,1197000,2904.76,3477000000,3477000000,1-5M,FALSE,FALSE,11,-4.1588,80.928,7248,2615,dulravi
Tovani,Mendereide,New Ayre,3379000,6309.52,21319880952,21319880952,1-5M,TRUE,FALSE,25,-4.2308,-10.98,4695,2617,tovani
Tijhara,Haiza,Massir,1215000,9325.4,11330357143,11330357143,1-5M,FALSE,FALSE,20,-4.4109,76.14,7115,2622,tijhara
Damsiri,Isari,New Ayre,1072000,7222.22,7742222222,7742222222,1-5M,TRUE,FALSE,22,-4.6629,-0.396,4989,2629,damsiri
Obelinti,Deschon,Acrola,3688000,1821.43,6717428571,6717428571,1-5M,TRUE,FALSE,22,-4.843,115.776,8216,2634,obelinti
Maphinde,Rijan Bu,Acrola,1237000,8794.02,10878199299,10878199299,1-5M,FALSE,FALSE,19,-4.807,117.828,8273,2633,maphinde
Ulamsik,Deschon,Acrola,2640000,1821.43,4808571429,4808571429,1-5M,FALSE,FALSE,15,-5.059,109.656,8046,2640,ulamsik
Hunakwe,Deschon,Acrola,2505000,1821.43,4562678571,4562678571,1-5M,FALSE,FALSE,15,-5.4911,104.94,7915,2652,hunakwe
Palnoro,Taval,Massir,2279000,10634.92,24236984127,24236984127,1-5M,FALSE,FALSE,21,-5.7431,47.664,6324,2659,palnoro
Lorasak,Erkizil,Quia,1002000,1817.46,1821095238,1821095238,1-5M,FALSE,FALSE,10,-5.8872,-142.812,1033,2663,lorasak
Evue,Iainoa,New Ayre,3842000,3642.86,13995857143,13995857143,1-5M,TRUE,FALSE,22,-6.2112,-36.072,3998,2672,evue
Savyan,Jshain,Acrola,1371000,2904.76,3982428571,3982428571,1-5M,TRUE,FALSE,17,-6.3193,81.9,7275,2675,savyan
Erosan,Erkizil,Quia,4355000,1817.46,7915039683,7915039683,1-5M,FALSE,FALSE,16,-6.4273,-145.98,945,2678,erosan
Tsalaka,Erkizil,Quia,1470000,1817.46,2671666667,2671666667,1-5M,FALSE,FALSE,11,-6.4273,-144.792,978,2678,tsalaka
Junik,Inania,Mahea,1481000,3134.92,4642817460,4642817460,1-5M,FALSE,FALSE,12,-6.4993,119.052,8307,2680,junik
Koyah,Erkizil,Quia,1474000,1817.46,2678936508,2678936508,1-5M,FALSE,FALSE,11,-6.7514,-150.372,823,2687,koyah
Iktavi,Erkizil,Quia,2791000,1817.46,5072531746,5072531746,1-5M,FALSE,FALSE,13,-6.8594,-147.672,898,2690,iktavi
Sikpah,Ztesh,Quia,1017000,3408.73,3466678571,3466678571,1-5M,FALSE,FALSE,13,-7.4355,-138.744,1146,2706,sikpah
Mirzulek,Shinam,Massir,2337000,492.06,1149952381,1149952381,1-5M,TRUE,FALSE,19,-7.5795,71.604,6989,2710,mirzulek
Wahashi,Erkizil,Quia,1822000,1817.46,3311412698,3311412698,1-5M,FALSE,FALSE,12,-7.6875,-146.952,918,2713,wahashi
Ikkat,Ztesh,Quia,3977000,3408.73,13556519841,13556519841,1-5M,FALSE,FALSE,19,-7.6875,-140.4,1100,2713,ikkat
Tuhli,Erkizil,Quia,1169000,1817.46,2124611111,2124611111,1-5M,FALSE,FALSE,11,-8.0116,-150.12,830,2722,tuhli
Meenor,Wundry,Quia,2140000,2226.19,4764047619,4764047619,1-5M,FALSE,FALSE,13,-8.1556,-130.752,1368,2726,meenor
Tiraqsi,Erkizil,Quia,16896000,1817.46,30707809524,30707809524,10-20M,TRUE,TRUE,107,-8.2276,-148.752,868,2728,tiraqsi
Reeveta,Wundry,Quia,2721000,2226.19,6057464286,6057464286,1-5M,FALSE,FALSE,15,-8.2997,-131.58,1345,2730,reeveta
Pihkosi,Ztesh,Quia,1790000,3408.73,6101626984,6101626984,1-5M,FALSE,FALSE,17,-8.3717,-135.9,1225,2732,pihkosi
Wiskot,Ztesh,Quia,8990000,3408.73,30644484127,30644484127,5-10M,FALSE,FALSE,42,-9.1998,-139.248,1132,2755,wiskot
Nakamik,Ztesh,Quia,1102000,3408.73,3756420635,3756420635,1-5M,FALSE,FALSE,15,-9.3799,-137.952,1168,2760,nakamik
Zundalor,Shinam,Massir,3853000,492.06,1895920635,1895920635,1-5M,FALSE,FALSE,17,-9.4879,69.12,6920,2763,zundalor
Reevon,Wundry,Quia,1736000,2226.19,3864666667,3864666667,1-5M,FALSE,FALSE,15,-9.5599,-128.232,1438,2765,reevon
Cairiso,Erkizil,Quia,3421000,1817.46,6217531746,6217531746,1-5M,FALSE,FALSE,16,-9.812,-145.98,945,2772,cairiso
Vellikar,Erkizil,Quia,3526000,1817.46,6408365079,6408365079,1-5M,FALSE,FALSE,15,-10.028,-144,1000,2778,vellikar
Teeneval,Wundry,Quia,1081000,2226.19,2406511905,2406511905,1-5M,FALSE,FALSE,10,-10.028,-123.228,1577,2778,teeneval
Kelvizu,Ruylku,Massir,1462000,2662.7,3892865079,3892865079,1-5M,TRUE,FALSE,17,-10.028,63.216,6756,2778,kelvizu
Lenere,Wundry,Quia,1024000,2226.19,2279619048,2279619048,1-5M,FALSE,FALSE,11,-10.1,-131.976,1334,2780,lenere
Eteska,Wundry,Quia,1818000,2226.19,4047214286,4047214286,1-5M,FALSE,FALSE,16,-10.1,-129.024,1416,2780,eteska
Chavira,Haiza,Massir,1223000,9325.4,11404960317,11404960317,1-5M,TRUE,FALSE,25,-10.4241,83.412,7317,2789,chavira
Pakikwan,Ztesh,Quia,2824000,3408.73,9626253968,9626253968,1-5M,FALSE,FALSE,22,-10.8922,-137.34,1185,2802,pakikwan
Nuhtalu,Erkizil,Quia,1122000,1817.46,2039190476,2039190476,1-5M,FALSE,FALSE,11,-11.1082,-143.532,1013,2808,nuhtalu
Shawink,Ztesh,Quia,1191000,3408.73,4059797619,4059797619,1-5M,FALSE,FALSE,14,-11.2523,-135.72,1230,2812,shawink
Enorva,Wundry,Quia,1036000,2226.19,2306333333,2306333333,1-5M,FALSE,FALSE,10,-11.4323,-123.264,1576,2817,enorva
Vereen,Wundry,Quia,1686000,2226.19,3753357143,3753357143,1-5M,FALSE,FALSE,15,-11.5403,-127.44,1460,2820,vereen
Pawik,Ztesh,Quia,1052000,3408.73,3585984127,3585984127,1-5M,FALSE,FALSE,13,-11.6123,-134.712,1258,2822,pawik
Kivalin,Quidic,Quia,2021000,5000,10105000000,10105000000,1-5M,FALSE,FALSE,17,-11.7203,-147.852,893,2825,kivalin
Yoteka,Ztesh,Quia,1514000,3408.73,5160817460,5160817460,1-5M,FALSE,FALSE,13,-11.8284,-140.832,1088,2828,yoteka
Keeter,Wundry,Quia,1319000,2226.19,2936345238,2936345238,1-5M,FALSE,FALSE,11,-12.0804,-123.912,1558,2835,keeter
Tiyotik,Ztesh,Quia,2433000,3408.73,8293440476,8293440476,1-5M,FALSE,FALSE,17,-12.1524,-141.732,1063,2837,tiyotik
Eserni,Wundry,Quia,8880000,2226.19,19768571429,19768571429,5-10M,FALSE,FALSE,25,-12.2605,-122.652,1593,2840,eserni
Teveme,Wundry,Quia,6650000,2226.19,14804166667,14804166667,5-10M,TRUE,FALSE,27,-12.4405,-126.936,1474,2845,teveme
Varnai,Ashain,Quia,3948000,12738.1,50290000000,50290000000,1-5M,FALSE,FALSE,33,-12.6925,-166.392,378,2852,varnai
Zekrah,Quidic,Quia,1358000,5000,6790000000,6790000000,1-5M,FALSE,FALSE,14,-12.7285,-147.96,890,2853,zekrah
Morzelka,Oscairia,Massir,3905000,1511.9,5903988095,5903988095,1-5M,TRUE,FALSE,21,-12.7285,61.308,6703,2853,morzelka
Seevera,Wundry,Quia,1680000,2226.19,3740000000,3740000000,1-5M,FALSE,FALSE,14,-12.8006,-125.352,1518,2855,seevera
Dunora,Quidic,Quia,1182000,5000,5910000000,5910000000,1-5M,FALSE,FALSE,13,-12.9086,-146.052,943,2858,dunora
Zinthi,Inania,Mahea,1168000,3134.92,3661587302,3661587302,1-5M,FALSE,FALSE,11,-13.0886,105.588,7933,2863,zinthi
Nimitik,Ztesh,Quia,2226000,3408.73,7587833333,7587833333,1-5M,FALSE,FALSE,23,-13.1606,-137.484,1181,2865,nimitik
Kaskis,Ztesh,Quia,3664000,3408.73,12489587302,12489587302,1-5M,FALSE,FALSE,29,-13.5207,-129.348,1407,2875,kaskis
Taylan,Inania,Mahea,1092000,3134.92,3423333333,3423333333,1-5M,FALSE,FALSE,11,-13.6287,120.852,8357,2878,taylan
Hondir,Inania,Mahea,2822000,3134.92,8846746032,8846746032,1-5M,FALSE,FALSE,18,-13.7728,114.228,8173,2882,hondir
Mikiw,Ztesh,Quia,1007000,3408.73,3432591270,3432591270,1-5M,FALSE,FALSE,13,-13.9528,-133.488,1292,2887,mikiw
Czarnulek,Oscairia,Massir,1179000,1511.9,1782535714,1782535714,1-5M,FALSE,FALSE,11,-13.9888,69.336,6926,2888,czarnulek
Zanir,Inania,Mahea,1381000,3134.92,4329325397,4329325397,1-5M,FALSE,FALSE,13,-13.9888,107.532,7987,2888,zanir
Oposkwe,Ztesh,Quia,3022000,3408.73,10301182540,10301182540,1-5M,FALSE,FALSE,21,-14.1688,-124.74,1535,2893,oposkwe
Rikotha,Quidic,Quia,1542000,5000,7710000000,7710000000,1-5M,FALSE,FALSE,16,-14.3129,-143.352,1018,2897,rikotha
Ashkik,Ztesh,Quia,4140000,3408.73,14112142857,14112142857,1-5M,FALSE,FALSE,23,-14.5289,-126.288,1492,2903,ashkik
Ratsom,Ztesh,Quia,7100000,3408.73,24201984127,24201984127,5-10M,FALSE,FALSE,42,-14.6729,-138.132,1163,2907,ratsom
Quinliya,Dahe,Massir,1012000,10754.97,10884027873,10884027873,1-5M,FALSE,FALSE,21,-14.961,58.608,6628,2915,quinliya
Toska,Ztesh,Quia,1309000,3408.73,4462027778,4462027778,1-5M,FALSE,FALSE,15,-15.141,-132.408,1322,2920,toska
Oshkari,Quidic,Quia,2080000,5000,10400000000,10400000000,1-5M,FALSE,FALSE,18,-15.2851,-140.328,1102,2924,oshkari
Tewiik,Ztesh,Quia,1062000,3408.73,3620071429,3620071429,1-5M,FALSE,FALSE,15,-15.3211,-128.448,1432,2925,tewiik
Nakos,Ztesh,Quia,25222000,3408.73,85974992063,85974992063,>20M,TRUE,TRUE,125,-15.5011,-133.56,1290,2930,nakos
Kokema,North Ayre,Massir,1438000,10515.87,15121825397,15121825397,1-5M,TRUE,FALSE,26,-15.5731,14.256,5396,2932,kokema
Ashwok,Ztesh,Quia,1099000,3408.73,3746194444,3746194444,1-5M,FALSE,FALSE,14,-15.6091,-137.88,1170,2933,ashwok
Sikwan,Ztesh,Quia,1123000,3408.73,3828003968,3828003968,1-5M,FALSE,FALSE,16,-15.6091,-135.72,1230,2933,sikwan
Takhna,Ztesh,Quia,9860000,3408.73,33610079365,33610079365,5-10M,FALSE,FALSE,44,-15.6091,-131.112,1358,2933,takhna
Yolan,Inania,Mahea,3880000,3134.92,12163492063,12163492063,1-5M,FALSE,FALSE,19,-15.6451,110.196,8061,2934,yolan
Nekwasa,Ztesh,Quia,1159000,3408.73,3950718254,3950718254,1-5M,FALSE,FALSE,13,-15.6811,-124.2,1550,2935,nekwasa
Kavato,Quidic,Quia,1681000,5000,8405000000,8405000000,1-5M,FALSE,FALSE,17,-15.7532,-145.188,967,2937,kavato
Pakoska,Ztesh,Quia,1042000,3408.73,3551896825,3551896825,1-5M,FALSE,FALSE,12,-16.1132,-128.772,1423,2947,pakoska
Mihkose,Ztesh,Quia,15333000,3408.73,52266059524,52266059524,10-20M,FALSE,TRUE,111,-16.2933,-123.48,1570,2952,mihkose
Horamtu,Ahokini,Quia,1371000,23174.6,31772380952,31772380952,1-5M,FALSE,FALSE,34,-16.3293,-158.256,604,2953,horamtu
Takamik,Ztesh,Quia,1060000,3408.73,3613253968,3613253968,1-5M,FALSE,FALSE,13,-16.4733,-133.272,1298,2957,takamik
Kenriko,Ashain,Quia,1690000,12738.1,21527380952,21527380952,1-5M,FALSE,FALSE,23,-16.4733,165.312,9592,2957,kenriko
Ribash,Ahokini,Quia,3803000,23174.6,88133015873,88133015873,1-5M,TRUE,FALSE,63,-16.5813,-149.58,845,2960,ribash
Tewapik,Ztesh,Quia,1763000,3408.73,6009591270,6009591270,1-5M,FALSE,FALSE,17,-16.8334,-123.48,1570,2967,tewapik
Zabantuq,Dahe,Massir,1021000,10754.97,10980822587,10980822587,1-5M,FALSE,FALSE,20,-17.0494,54.972,6527,2973,zabantuq
Viltira,Quidic,Quia,1171000,5000,5855000000,5855000000,1-5M,FALSE,FALSE,15,-17.1934,-144.72,980,2977,viltira
Zanikwa,Ztesh,Quia,1317000,3408.73,4489297619,4489297619,1-5M,FALSE,FALSE,14,-17.3015,-125.64,1510,2980,zanikwa
Talvani,Quidic,Quia,19281000,5000,96405000000,96405000000,10-20M,TRUE,TRUE,126,-17.4095,-140.94,1085,2983,talvani
Mikway,Ztesh,Quia,1175000,3408.73,4005257937,4005257937,1-5M,FALSE,FALSE,14,-17.3375,-136.368,1212,2981,mikway
Bardin,Rtesania,Mahea,1044000,888.89,928000000,928000000,1-5M,TRUE,FALSE,16,-17.4095,103.608,7878,2983,bardin
Sakitho,Ztesh,Quia,1365000,3408.73,4652916667,4652916667,1-5M,FALSE,FALSE,13,-17.4095,-123.66,1565,2983,sakitho
Likorin,Quidic,Quia,1497000,5000,7485000000,7485000000,1-5M,FALSE,FALSE,16,-17.4815,-142.308,1047,2985,likorin
Lusvani,Ashain,Quia,2011000,12738.1,25616309524,25616309524,1-5M,FALSE,FALSE,23,-17.4815,150.84,9190,2985,lusvani
Liroska,Inania,Mahea,1358000,3134.92,4257222222,4257222222,1-5M,FALSE,FALSE,15,-17.5535,110.088,8058,2987,liroska
Vekti,Inania,Mahea,1002000,3134.92,3141190476,3141190476,1-5M,FALSE,FALSE,13,-17.5535,113.328,8148,2987,vekti
Jiloth,Inania,Mahea,1822000,3134.92,5711825397,5711825397,1-5M,FALSE,FALSE,12,-17.6975,122.796,8411,2991,jiloth
Nihara,Quidic,Quia,1968000,5000,9840000000,9840000000,1-5M,FALSE,FALSE,18,-17.7335,-143.388,1017,2992,nihara
Kaitriss,Ashain,Quia,4941000,12738.1,62938928571,62938928571,1-5M,FALSE,FALSE,36,-17.7335,148.644,9129,2992,kaitriss
Makahk,Ztesh,Quia,2069000,3408.73,7052662698,7052662698,1-5M,FALSE,FALSE,16,-17.7696,-126.72,1480,2993,makahk
Pelfen,Ashain,Quia,4855000,12738.1,61843452381,61843452381,1-5M,FALSE,FALSE,33,-17.9136,156.888,9358,2997,pelfen
Fashti,Inania,Mahea,18819000,3134.92,58996071429,58996071429,10-20M,TRUE,TRUE,126,-18.0216,108.648,8018,3000,fashti
Yrelth,Inania,Mahea,1214000,3134.92,3805793651,3805793651,1-5M,FALSE,FALSE,16,-18.4537,107.784,7994,3012,yrelth
Varnan,Inania,Mahea,9010000,3134.92,28245634921,28245634921,5-10M,FALSE,FALSE,32,-18.4537,121.392,8372,3012,varnan
Fenkai,Verste,Quia,1407000,10119.05,14237500000,14237500000,1-5M,FALSE,FALSE,20,-18.7417,-147.96,890,3020,fenkai
Zinlor,Ashain,Quia,2580000,12738.1,32864285714,32864285714,1-5M,FALSE,FALSE,24,-18.7417,156.852,9357,3020,zinlor
Darnai,Ashain,Quia,1142000,12738.1,14546904762,14546904762,1-5M,FALSE,FALSE,22,-18.9938,150.912,9192,3027,darnai
Sjoran,Ashain,Quia,14751000,12738.1,187899642857,187899642857,10-20M,TRUE,TRUE,121,-19.1378,156.24,9340,3031,sjoran
Xalar,Verste,Quia,1233000,10119.05,12476785714,12476785714,1-5M,FALSE,FALSE,19,-19.2098,-150.768,812,3033,xalar
Zavrik,Inania,Mahea,1241000,3134.92,3890436508,3890436508,1-5M,FALSE,FALSE,14,-19.2819,113.868,8163,3035,zavrik
Parloth,Yihnurda,Quia,1394000,1706.35,2378650794,2378650794,1-5M,TRUE,FALSE,17,-19.3539,-136.728,1202,3037,parloth
Kastra,Inania,Mahea,1359000,3134.92,4260357143,4260357143,1-5M,FALSE,FALSE,15,-19.4259,108.36,8010,3039,kastra
Mikori,Quidic,Quia,6100000,5000,30500000000,30500000000,5-10M,FALSE,FALSE,28,-19.5339,-145.98,945,3042,mikori
Yorvex,Ashain,Quia,2812000,12738.1,35819523810,35819523810,1-5M,FALSE,FALSE,24,-19.5339,152.388,9233,3042,yorvex
Mouyein,Dahe,Massir,1231000,10754.97,13239365921,13239365921,1-5M,FALSE,FALSE,21,-19.6419,53.712,6492,3045,mouyein
Tovsagaan,Anymna,Quia,3066000,10753.97,32971666667,32971666667,1-5M,FALSE,FALSE,26,-20.2901,-115.2,1800,3063,tovsagaan
Khureldai,Anymna,Quia,3302000,10753.97,35509603175,35509603175,1-5M,TRUE,FALSE,39,-20.3621,-117.072,1748,3065,khureldai
Kirvok,Inania,Mahea,2149000,3134.92,6736944444,6736944444,1-5M,FALSE,FALSE,15,-20.3981,103.86,7885,3066,kirvok
Mendri,Verste,Quia,2330000,10119.05,23577380952,23577380952,1-5M,FALSE,FALSE,24,-20.6501,-149.04,860,3073,mendri
Swandor,Inania,Mahea,1996000,3134.92,6257301587,6257301587,1-5M,FALSE,FALSE,17,-20.7942,105.372,7927,3077,swandor
Khamri,Pelugrotoa,Mahea,4908000,11861.11,58214333333,58214333333,1-5M,FALSE,FALSE,47,-20.7942,122.94,8415,3077,khamri
Altorg,Anymna,Quia,1388000,10753.97,14926507937,14926507937,1-5M,FALSE,FALSE,20,-20.9022,-119.52,1680,3080,altorg
Lokren,Inania,Mahea,1959000,3134.92,6141309524,6141309524,1-5M,FALSE,FALSE,17,-20.9022,107.568,7988,3080,lokren
Prystr Hii,Prystr Hii,Massir,2647000,30992.06,82035992063,82035992063,1-5M,TRUE,FALSE,84,-21.0822,49.608,6378,3085,prystr-hii
Fengzolu,Dahe,Massir,2256000,10754.97,24263208381,24263208381,1-5M,FALSE,FALSE,25,-21.1902,61.308,6703,3088,fengzolu
Ralut,Verste,Quia,7650000,10119.05,77410714286,77410714286,5-10M,FALSE,FALSE,47,-21.2623,-148.32,880,3090,ralut
Xianqalu,Dahe,Massir,3458000,10754.97,37190680222,37190680222,1-5M,FALSE,FALSE,29,-21.4063,48.996,6361,3094,xianqalu
Vurekh,Anymna,Quia,2486000,10753.97,26734365079,26734365079,1-5M,FALSE,FALSE,26,-21.4423,-103.572,2123,3095,vurekh
Yinbari,Dahe,Massir,2848000,10754.97,30630149587,30630149587,1-5M,FALSE,FALSE,29,-21.5143,54.36,6510,3097,yinbari
Zhwaziko,Dahe,Massir,5020000,10754.97,53989940635,53989940635,5-10M,FALSE,FALSE,39,-21.5863,50.4,6400,3099,zhwaziko
Shinlotha,Dahe,Massir,13042000,10754.97,140266295968,140266295968,10-20M,FALSE,TRUE,148,-21.5503,51.12,6420,3098,shinlotha
Kebenta,Oyreain,Massir,1031000,8055.56,8305277778,8305277778,1-5M,FALSE,FALSE,17,-21.9464,28.728,5798,3109,kebenta
Dambulo,Dahe,Massir,1101000,10754.97,11841220048,11841220048,1-5M,FALSE,FALSE,20,-22.1624,57.708,6603,3115,dambulo
Amrata,Sivoso,Mahea,1448000,3702.38,5361047619,5361047619,1-5M,TRUE,FALSE,18,-22.1624,85.932,7387,3115,amrata
Syntar,Inania,Mahea,1137000,3134.92,3564404762,3564404762,1-5M,FALSE,FALSE,11,-22.2705,109.764,8049,3118,syntar
Tselengbo,Dahe,Massir,1101000,10754.97,11841220048,11841220048,1-5M,FALSE,FALSE,21,-22.3425,53.964,6499,3120,tselengbo
Dumemzi,Dahe,Massir,4396000,10754.97,47278840444,47278840444,1-5M,FALSE,FALSE,33,-22.5945,48.6,6350,3127,dumemzi
Jirakai,Sivoso,Mahea,1499000,3702.38,5549869048,5549869048,1-5M,FALSE,FALSE,13,-22.7746,84.312,7342,3132,jirakai
Sutrah,Verste,Quia,1597000,10119.05,16160119048,16160119048,1-5M,FALSE,FALSE,20,-23.2426,-150.228,827,3145,sutrah
Wuyani,Dahe,Massir,1239000,10754.97,13325405667,13325405667,1-5M,FALSE,FALSE,21,-23.4227,59.076,6641,3150,wuyani
Xhalenti,Dahe,Massir,1059000,10754.97,11389511381,11389511381,1-5M,FALSE,FALSE,20,-23.5307,62.46,6735,3153,xhalenti
Benzanqi,Dahe,Massir,1175000,10754.97,12637087698,12637087698,1-5M,FALSE,FALSE,22,-23.5307,55.008,6528,3153,benzanqi
Bongyu,Dahe,Massir,1594000,10754.97,17143419397,17143419397,1-5M,FALSE,FALSE,22,-23.7107,51.192,6422,3158,bongyu
Kaimlo,Verste,Quia,1283000,10119.05,12982738095,12982738095,1-5M,TRUE,FALSE,26,-24.0348,-149.832,838,3167,kaimlo
Tarnokh,Pelugrotoa,Mahea,1812000,11861.11,21492333333,21492333333,1-5M,FALSE,FALSE,29,-24.0348,128.808,8578,3167,tarnokh
Otkiru,Sunsokua,Mahea,1138000,12579.37,14315317460,14315317460,1-5M,FALSE,FALSE,22,-24.3229,135.612,8767,3175,otkiru
Gavriko,Verste,Quia,2799000,10119.05,28323214286,28323214286,1-5M,FALSE,FALSE,23,-24.3949,-152.28,770,3177,gavriko
Katanir,Sunsokua,Mahea,4002000,12579.37,50342619048,50342619048,1-5M,FALSE,FALSE,37,-24.4309,133.92,8720,3178,katanir
